321 ---> 0	 Error rate (%): 29.30
322 ---> 0	 Error rate (%): 29.40
323 ---> 0	 Error rate (%): 29.50
324 ---> 0	 Error rate (%): 29.60
325 ---> 0	 Error rate (%): 29.70
326 ---> 0	 Error rate (%): 29.80
327 ---> 327	 Error rate (%): 29.80
328 ---> 0	 Error rate (%): 29.90
329 ---> 0	 Error rate (%): 30.00
330 ---> 0	 Error rate (%): 30.10
331 ---> 0	 Error rate (%): 30.20
332 ---> 0	 Error rate (%): 30.30
333 ---> 0	 Error rate (%): 30.40
334 ---> 0	 Error rate (%): 30.50
335 ---> 0	 Error rate (%): 30.60
336 ---> 0	 Error rate (%): 30.70
337 ---> 0	 Error rate (%): 30.80
338 ---> 0	 Error rate (%): 30.90
339 ---> 0	 Error rate (%): 31.00
340 ---> 0	 Error rate (%): 31.10
341 ---> 0	 Error rate (%): 31.20
342 ---> 0	 Error rate (%): 31.30
343 ---> 0	 Error rate (%): 31.40
344 ---> 0	 Error rate (%): 31.50
345 ---> 345	 Error rate (%): 31.50
346 ---> 0	 Error rate (%): 31.60
347 ---> 0	 Error rate (%): 31.70
348 ---> 0	 Error rate (%): 31.80
349 ---> 0	 Error rate (%): 31.90
350 ---> 0	 Error rate (%): 32.00
351 ---> 0	 Error rate (%): 32.10
352 ---> 0	 Error rate (%): 32.20
353 ---> 0	 Error rate (%): 32.30
354 ---> 0	 Error rate (%): 32.40
355 ---> 0	 Error rate (%): 32.50
356 ---> 0	 Error rate (%): 32.60
357 ---> 0	 Error rate (%): 32.70
358 ---> 0	 Error rate (%): 32.80
359 ---> 359	 Error rate (%): 32.80
360 ---> 0	 Error rate (%): 32.90
361 ---> 0	 Error rate (%): 33.00
362 ---> 0	 Error rate (%): 33.10
363 ---> 363	 Error rate (%): 33.10
364 ---> 0	 Error rate (%): 33.20
365 ---> 0	 Error rate (%): 33.30
366 ---> 0	 Error rate (%): 33.40
367 ---> 0	 Error rate (%): 33.50
368 ---> 0	 Error rate (%): 33.60
369 ---> 369	 Error rate (%): 33.60
370 ---> 0	 Error rate (%): 33.70
371 ---> 371	 Error rate (%): 33.70
372 ---> 372	 Error rate (%): 33.70
373 ---> 0	 Error rate (%): 33.80
374 ---> 0	 Error rate (%): 33.90
375 ---> 0	 Error rate (%): 34.00
376 ---> 0	 Error rate (%): 34.10
377 ---> 0	 Error rate (%): 34.20
378 ---> 0	 Error rate (%): 34.30
379 ---> 0	 Error rate (%): 34.40
380 ---> 0	 Error rate (%): 34.50
381 ---> 0	 Error rate (%): 34.60
382 ---> 0	 Error rate (%): 34.70
383 ---> 383	 Error rate (%): 34.70
384 ---> 0	 Error rate (%): 34.80
385 ---> 385	 Error rate (%): 34.80
386 ---> 0	 Error rate (%): 34.90
387 ---> 0	 Error rate (%): 35.00
388 ---> 0	 Error rate (%): 35.10
389 ---> 0	 Error rate (%): 35.20
390 ---> 0	 Error rate (%): 35.30
391 ---> 391	 Error rate (%): 35.30
392 ---> 0	 Error rate (%): 35.40
393 ---> 0	 Error rate (%): 35.50
394 ---> 0	 Error rate (%): 35.60
395 ---> 395	 Error rate (%): 35.60
396 ---> 0	 Error rate (%): 35.70
397 ---> 0	 Error rate (%): 35.80
398 ---> 0	 Error rate (%): 35.90
399 ---> 399	 Error rate (%): 35.90
400 ---> 0	 Error rate (%): 36.00
401 ---> 401	 Error rate (%): 36.00
402 ---> 0	 Error rate (%): 36.10
403 ---> 403	 Error rate (%): 36.10
404 ---> 0	 Error rate (%): 36.20
405 ---> 405	 Error rate (%): 36.20
406 ---> 0	 Error rate (%): 36.30
407 ---> 0	 Error rate (%): 36.40
408 ---> 0	 Error rate (%): 36.50
409 ---> 0	 Error rate (%): 36.60
410 ---> 0	 Error rate (%): 36.70
411 ---> 0	 Error rate (%): 36.80
412 ---> 0	 Error rate (%): 36.90
413 ---> 413	 Error rate (%): 36.90
414 ---> 0	 Error rate (%): 37.00
415 ---> 0	 Error rate (%): 37.10
416 ---> 0	 Error rate (%): 37.20
417 ---> 0	 Error rate (%): 37.30
418 ---> 0	 Error rate (%): 37.40
419 ---> 419	 Error rate (%): 37.40
420 ---> 420	 Error rate (%): 37.40
421 ---> 421	 Error rate (%): 37.40
422 ---> 0	 Error rate (%): 37.50
423 ---> 0	 Error rate (%): 37.60
424 ---> 0	 Error rate (%): 37.70
425 ---> 0	 Error rate (%): 37.80
426 ---> 0	 Error rate (%): 37.90
427 ---> 0	 Error rate (%): 38.00
428 ---> 0	 Error rate (%): 38.10
429 ---> 429	 Error rate (%): 38.10
430 ---> 0	 Error rate (%): 38.20
431 ---> 0	 Error rate (%): 38.30
432 ---> 0	 Error rate (%): 38.40
433 ---> 0	 Error rate (%): 38.50
434 ---> 0	 Error rate (%): 38.60
435 ---> 0	 Error rate (%): 38.70
436 ---> 436	 Error rate (%): 38.70
437 ---> 0	 Error rate (%): 38.80
438 ---> 0	 Error rate (%): 38.90
439 ---> 0	 Error rate (%): 39.00
440 ---> 0	 Error rate (%): 39.10
441 ---> 0	 Error rate (%): 39.20
442 ---> 442	 Error rate (%): 39.20
443 ---> 0	 Error rate (%): 39.30
444 ---> 0	 Error rate (%): 39.40
445 ---> 0	 Error rate (%): 39.50
446 ---> 0	 Error rate (%): 39.60
447 ---> 0	 Error rate (%): 39.70
448 ---> 0	 Error rate (%): 39.80
449 ---> 0	 Error rate (%): 39.90
450 ---> 0	 Error rate (%): 40.00
451 ---> 0	 Error rate (%): 40.10
452 ---> 0	 Error rate (%): 40.20
453 ---> 0	 Error rate (%): 40.30
454 ---> 0	 Error rate (%): 40.40
455 ---> 455	 Error rate (%): 40.40
456 ---> 456	 Error rate (%): 40.40
457 ---> 0	 Error rate (%): 40.50
458 ---> 0	 Error rate (%): 40.60
459 ---> 459	 Error rate (%): 40.60
460 ---> 0	 Error rate (%): 40.70
461 ---> 0	 Error rate (%): 40.80
462 ---> 0	 Error rate (%): 40.90
463 ---> 463	 Error rate (%): 40.90
464 ---> 0	 Error rate (%): 41.00
465 ---> 0	 Error rate (%): 41.10
466 ---> 0	 Error rate (%): 41.20
467 ---> 0	 Error rate (%): 41.30
468 ---> 0	 Error rate (%): 41.40
469 ---> 469	 Error rate (%): 41.40
470 ---> 0	 Error rate (%): 41.50
471 ---> 0	 Error rate (%): 41.60
472 ---> 0	 Error rate (%): 41.70
473 ---> 0	 Error rate (%): 41.80
474 ---> 0	 Error rate (%): 41.90
475 ---> 0	 Error rate (%): 42.00
476 ---> 0	 Error rate (%): 42.10
477 ---> 0	 Error rate (%): 42.20
478 ---> 0	 Error rate (%): 42.30
479 ---> 0	 Error rate (%): 42.40
480 ---> 0	 Error rate (%): 42.50
481 ---> 0	 Error rate (%): 42.60
482 ---> 0	 Error rate (%): 42.70
483 ---> 483	 Error rate (%): 42.70
484 ---> 0	 Error rate (%): 42.80
485 ---> 0	 Error rate (%): 42.90
486 ---> 0	 Error rate (%): 43.00
487 ---> 0	 Error rate (%): 43.10
488 ---> 0	 Error rate (%): 43.20
489 ---> 489	 Error rate (%): 43.20
490 ---> 0	 Error rate (%): 43.30
491 ---> 491	 Error rate (%): 43.30
492 ---> 0	 Error rate (%): 43.40
493 ---> 0	 Error rate (%): 43.50
494 ---> 0	 Error rate (%): 43.60
495 ---> 495	 Error rate (%): 43.60
496 ---> 0	 Error rate (%): 43.70
497 ---> 0	 Error rate (%): 43.80
498 ---> 0	 Error rate (%): 43.90
499 ---> 499	 Error rate (%): 43.90
500 ---> 0	 Error rate (%): 44.00
501 ---> 501	 Error rate (%): 44.00
502 ---> 0	 Error rate (%): 44.10
503 ---> 0	 Error rate (%): 44.20
504 ---> 0	 Error rate (%): 44.30
505 ---> 0	 Error rate (%): 44.40
506 ---> 506	 Error rate (%): 44.40
507 ---> 0	 Error rate (%): 44.50
508 ---> 0	 Error rate (%): 44.60
509 ---> 509	 Error rate (%): 44.60
510 ---> 0	 Error rate (%): 44.70
511 ---> 0	 Error rate (%): 44.80
512 ---> 0	 Error rate (%): 44.90
513 ---> 513	 Error rate (%): 44.90
514 ---> 0	 Error rate (%): 45.00
515 ---> 0	 Error rate (%): 45.10
516 ---> 0	 Error rate (%): 45.20
517 ---> 0	 Error rate (%): 45.30
518 ---> 0	 Error rate (%): 45.40
519 ---> 519	 Error rate (%): 45.40
520 ---> 520	 Error rate (%): 45.40
521 ---> 0	 Error rate (%): 45.50
522 ---> 0	 Error rate (%): 45.60
523 ---> 0	 Error rate (%): 45.70
524 ---> 0	 Error rate (%): 45.80
525 ---> 525	 Error rate (%): 45.80
526 ---> 0	 Error rate (%): 45.90
527 ---> 0	 Error rate (%): 46.00
528 ---> 0	 Error rate (%): 46.10
529 ---> 0	 Error rate (%): 46.20
530 ---> 0	 Error rate (%): 46.30
531 ---> 531	 Error rate (%): 46.30
532 ---> 0	 Error rate (%): 46.40
533 ---> 0	 Error rate (%): 46.50
534 ---> 0	 Error rate (%): 46.60
535 ---> 0	 Error rate (%): 46.70
536 ---> 0	 Error rate (%): 46.80
537 ---> 0	 Error rate (%): 46.90
538 ---> 0	 Error rate (%): 47.00
539 ---> 0	 Error rate (%): 47.10
540 ---> 0	 Error rate (%): 47.20
541 ---> 0	 Error rate (%): 47.30
542 ---> 0	 Error rate (%): 47.40
543 ---> 0	 Error rate (%): 47.50
544 ---> 0	 Error rate (%): 47.60
545 ---> 545	 Error rate (%): 47.60
546 ---> 0	 Error rate (%): 47.70
547 ---> 0	 Error rate (%): 47.80
548 ---> 0	 Error rate (%): 47.90
549 ---> 549	 Error rate (%): 47.90
550 ---> 0	 Error rate (%): 48.00
551 ---> 551	 Error rate (%): 48.00
552 ---> 0	 Error rate (%): 48.10
553 ---> 553	 Error rate (%): 48.10
554 ---> 0	 Error rate (%): 48.20
555 ---> 555	 Error rate (%): 48.20
556 ---> 0	 Error rate (%): 48.30
557 ---> 0	 Error rate (%): 48.40
558 ---> 0	 Error rate (%): 48.50
559 ---> 0	 Error rate (%): 48.60
560 ---> 0	 Error rate (%): 48.70
561 ---> 561	 Error rate (%): 48.70
562 ---> 0	 Error rate (%): 48.80
563 ---> 563	 Error rate (%): 48.80
564 ---> 0	 Error rate (%): 48.90
565 ---> 565	 Error rate (%): 48.90
566 ---> 0	 Error rate (%): 49.00
567 ---> 0	 Error rate (%): 49.10
568 ---> 0	 Error rate (%): 49.20
569 ---> 569	 Error rate (%): 49.20
570 ---> 0	 Error rate (%): 49.30
571 ---> 571	 Error rate (%): 49.30
572 ---> 0	 Error rate (%): 49.40
573 ---> 573	 Error rate (%): 49.40
574 ---> 0	 Error rate (%): 49.50
575 ---> 0	 Error rate (%): 49.60
576 ---> 0	 Error rate (%): 49.70
577 ---> 0	 Error rate (%): 49.80
578 ---> 0	 Error rate (%): 49.90
579 ---> 0	 Error rate (%): 50.00
580 ---> 0	 Error rate (%): 50.10
581 ---> 581	 Error rate (%): 50.10
582 ---> 0	 Error rate (%): 50.20
583 ---> 583	 Error rate (%): 50.20
584 ---> 584	 Error rate (%): 50.20
585 ---> 0	 Error rate (%): 50.30
586 ---> 586	 Error rate (%): 50.30
587 ---> 0	 Error rate (%): 50.40
588 ---> 0	 Error rate (%): 50.50
589 ---> 0	 Error rate (%): 50.60
590 ---> 0	 Error rate (%): 50.70
591 ---> 0	 Error rate (%): 50.80
592 ---> 0	 Error rate (%): 50.90
593 ---> 0	 Error rate (%): 51.00
594 ---> 0	 Error rate (%): 51.10
595 ---> 0	 Error rate (%): 51.20
